"filename", "language", "Asset Properties Definition", "GDScript", "Markdown", "GDScene", "XML", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\util\sector_drawer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\warn_circle_example.gd", "GDScript", 0, 61, 0, 0, 0, 32, 17, 110
"d:\IdeaProjects\-qsz\util\warn_circle_example.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\warn_circle_example_updated.gd", "GDScript", 0, 148, 0, 0, 0, 52, 36, 236
"d:\IdeaProjects\-qsz\util\warn_circle_example_updated.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\warn_circle_util.gd", "GDScript", 0, 197, 0, 0, 0, 60, 53, 310
"d:\IdeaProjects\-qsz\util\warn_circle_util.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\warn_rect_example.gd", "GDScript", 0, 110, 0, 0, 0, 42, 28, 180
"d:\IdeaProjects\-qsz\util\warn_rect_example.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\warn_rect_util.gd", "GDScript", 0, 114, 0, 0, 0, 25, 36, 175
"d:\IdeaProjects\-qsz\util\warn_rect_util.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\warn_sector_example.gd", "GDScript", 0, 144, 0, 0, 0, 41, 39, 224
"d:\IdeaProjects\-qsz\util\warn_sector_example.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\util\warn_sector_util.gd", "GDScript", 0, 150, 0, 0, 0, 26, 45, 221
"d:\IdeaProjects\-qsz\util\warn_sector_util.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 92, 17027, 980, 4, 29, 2993, 4543, 25668
